title,description,subjects,subject_places,subject_people,subject_times,first_publish_date,author_keys,latest_revision,clean_description,cluster
Funeral in blue,"In her haunting new Victorian novel, Anne Perry brings to rich and passionate life the city that she has made her own. Once more she shares the intimacy of London's opulent drawing rooms and guides readers through gaslit thoroughfares that echo with hooves on cobblestones, the cries of street vendors, the shouts of newsboys reporting the headlines . . . of two beautiful women found strangled in the studio of a well-known London artist. One of the victims is the wife of Hester Monk's colleague, surgeon Dr. Kristian Beck, a Viennese emigre who swiftly becomes the principal suspect. Now investigator William Monk and his wife seek evidence to save Beck from the hangman, hoping to penetrate not only the mystery of Elissa Beck's death, but the riddle of her life. . . .","['Fiction', 'Private investigators', 'Private investigators in fiction', 'Nurses', 'William Monk (Fictitious character)', 'Nurses in fiction', 'Detective and mystery stories', 'Historical fiction', 'Leadership', 'Large type books', 'London (england), fiction', 'Monk, william (fictitious character), fiction', 'Fiction, historical, general', 'Fiction, mystery & detective, general', 'Private investigators, fiction', 'Latterly, hester (fictitious character), fiction']","['England', 'London', 'London (England)']",,,,['OL25148A'],9,in her haunting new victorian novel anne perry brings to rich and passionate life the city that she has made her own once more she shares the intimacy of londons opulent drawing rooms and guides readers through gaslit thoroughfares that echo with hooves on cobblestones the cries of street vendors the shouts of newsboys reporting the headlines of two beautiful women found strangled in the studio of a wellknown london artist one of the victims is the wife of hester monks colleague surgeon dr kristian beck a viennese emigre who swiftly becomes the principal suspect now investigator william monk and his wife seek evidence to save beck from the hangman hoping to penetrate not only the mystery of elissa becks death but the riddle of her life,7
Star Wars,"Sleek, swift, and deadly, the famed X-wing fighters have earned their reputation as the Rebel Alliance's ultimate strike force the hard way—first in battle, the last line of defense. Now they must make a deal with the devil herself—an enemy whose ultimate goal is their total annihilation.

It's the kind of mission only Wedge Antilles and the Rogue Squadron would dare to undertake. Against impossible odds they will stage a daring raid into an enemy stronghold—only to be rescued from certain destruction by an unexpected ally. Ysanne Isard, the ruthless Imperial commander, has appeared on the scene seemingly from out of nowhere. Now she proposes a most unusual alliance, offering to help Wedge rescue his captured comrades from Imperial Warlord Admiral Krennel's sadistic prison camp. But her offer is not without a price. Wedge must lead Rogue Squadron in Isard's deadly struggle against an enemy made in her own image. It's an offer Wedge would love to refuse, for Isard is certain to betray them. But how can they leave their comrades at Krennel's mercy? The answer is: they can't—even if it means being caught between Krennel's ruthlessness and Isard's treachery.","['Science fiction', 'Fighter pilots', 'Fiction', 'Fiction, science fiction, space opera', 'Antilles, wedge (fictitious character), fiction', 'Horn, corran (fictitious character), fiction', 'collectionID:swNRa']",,,,,['OL40284A'],7,sleek swift and deadly the famed xwing fighters have earned their reputation as the rebel alliances ultimate strike force the hard wayfirst in battle the last line of defense now they must make a deal with the devil herselfan enemy whose ultimate goal is their total annihilation its the kind of mission only wedge antilles and the rogue squadron would dare to undertake against impossible odds they will stage a daring raid into an enemy strongholdonly to be rescued from certain destruction by an unexpected ally ysanne isard the ruthless imperial commander has appeared on the scene seemingly from out of nowhere now she proposes a most unusual alliance offering to help wedge rescue his captured comrades from imperial warlord admiral krennels sadistic prison camp but her offer is not without a price wedge must lead rogue squadron in isards deadly struggle against an enemy made in her own image its an offer wedge would love to refuse for isard is certain to betray them but how can they leave their comrades at krennels mercy the answer is they canteven if it means being caught between krennels ruthlessness and isards treachery,14
Principles of the institutional law of international organizations,"This is one of the first books to appear in the relaunched Cambridge Studies in International and Comparative Law and it addresses the institutional aspect of the law of international organizations. Dr. Amerasinghe starts with a brief history of international organizations.

In fourteen substantive chapters, he then deals with subjects such as interpretation, membership and representation, the doctrine of ultra vires, responsibility, liability of members to third parties, internal law and employment relations, privileges and immunities, dispute settlement, and, finally, dissolution and succession. There is a full and detailed examination of the problems connected with each of these subjects.

The primary object of the book is to discuss principles, but Dr Amerasinghe also studies the law and practice of different organizations, using a rigorous analysis of the material alongside his functional examination of the law.",['International agencies'],,,,,['OL9705A'],4,this is one of the first books to appear in the relaunched cambridge studies in international and comparative law and it addresses the institutional aspect of the law of international organizations dr amerasinghe starts with a brief history of international organizations in fourteen substantive chapters he then deals with subjects such as interpretation membership and representation the doctrine of ultra vires responsibility liability of members to third parties internal law and employment relations privileges and immunities dispute settlement and finally dissolution and succession there is a full and detailed examination of the problems connected with each of these subjects the primary object of the book is to discuss principles but dr amerasinghe also studies the law and practice of different organizations using a rigorous analysis of the material alongside his functional examination of the law,4
"Arthur, High King of Britain","A twelve-year-old boy comes across Arthur Pendragon, who has just awakened from his long sleep beneath the earth, and hears from him some of the exciting stories of his past.","[""Children's stories, English"", 'Juvenile fiction', ""Children's fiction"", 'Arthur, king, fiction', 'Knights and knighthood, fiction', 'Knights and knighthood', 'Fiction', 'Great britain, history, to 1066, fiction', 'Arthurian romances', 'Juvenile literature', 'History', 'Adaptations']",['Great Britain'],['Arthur King'],['To 1066'],,"['OL3477047A', 'OL462466A', 'OL9956116A', 'OL3249710A', 'OL3114068A']",11,a twelveyearold boy comes across arthur pendragon who has just awakened from his long sleep beneath the earth and hears from him some of the exciting stories of his past,1
Dreams,"Before the dawn of history mankind was engaged in the study of dreaming. The wise man among the ancients was preeminently the interpreter of dreams. The ability to interpret successfully or plausibly was the quickest road to royal favor, as Joseph and Daniel found it to be; failure to give satisfaction in this respect led to banishment from court or death. When a scholar laboriously translates a cuneiform tablet dug up from a Babylonian mound where it has lain buried for five thousand years or more, the chances are that it will turn out either an astrological treatise or a dream book. If the former, we look upon it with some indulgence; if the latter with pure contempt. For we know that the study of the stars, though undertaken for selfish reasons and pursued in the spirit of charlatanry, led at length to physical science, while the study of dreams has proved as unprofitable as the dreaming of them. Out of astrology grew astronomy. Out of oneiromancy has grown - nothing.That at least was substantially true up to the beginning of the present century. Dream books in all languages continued to sell in cheap editions and the interpreters of dreams made a decent or, at any rate, a comfortable living out of the poorer classes. But the psychologist rarely paid attention to dreams except incidentally in his study of imagery, association and the speed of thought. But now a change has come over the spirit of the times. The subject of the significance of dreams, so long ignored, has suddenly become a matter of energetic study and of fiery controversy the world over.The cause of this revival of interest is the new point of view brought forward by Professor Bergson in the paper which is here made accessible to the English-reading public. This is the idea that we can explore the unconscious substratum of our mentality, the storehouse of our memories, by means of dreams, for these memories are by no means inert, but have, as it were, a life and purpose of their own, and strive to rise into consciousness whenever they get a chance, even into the semi-consciousness of a dream. To use Professor Bergson's striking metaphor, our memories are packed away under pressure like steam in a boiler and the dream is their escape valve.That this is more than a mere metaphor has been proved by Professor Freud and others of the Vienna school, who cure cases of hysteria by inducing the patient to give expression to the secret anxieties and emotions which, unknown to him, have been preying upon his mind. The clue to these disturbing thoughts is generally obtained in dreams or similar states of relaxed consciousness. According to the Freudians a dream always means something, but never what it appears to mean. It is symbolic and expresses desires or fears which we refuse ordinarily to admit to consciousness, either because they are painful or because they are repugnant to our moral nature. A watchman is stationed at the gate of consciousness to keep them back, but sometimes these unwelcome intruders slip past him in disguise.","['Dreams', 'New Age', 'Nonfiction', 'Psychology', 'Numismatics', 'Numismatique']",,,,,['OL18539A'],6,before the dawn of history mankind was engaged in the study of dreaming the wise man among the ancients was preeminently the interpreter of dreams the ability to interpret successfully or plausibly was the quickest road to royal favor as joseph and daniel found it to be failure to give satisfaction in this respect led to banishment from court or death when a scholar laboriously translates a cuneiform tablet dug up from a babylonian mound where it has lain buried for five thousand years or more the chances are that it will turn out either an astrological treatise or a dream book if the former we look upon it with some indulgence if the latter with pure contempt for we know that the study of the stars though undertaken for selfish reasons and pursued in the spirit of charlatanry led at length to physical science while the study of dreams has proved as unprofitable as the dreaming of them out of astrology grew astronomy out of oneiromancy has grown nothingthat at least was substantially true up to the beginning of the present century dream books in all languages continued to sell in cheap editions and the interpreters of dreams made a decent or at any rate a comfortable living out of the poorer classes but the psychologist rarely paid attention to dreams except incidentally in his study of imagery association and the speed of thought but now a change has come over the spirit of the times the subject of the significance of dreams so long ignored has suddenly become a matter of energetic study and of fiery controversy the world overthe cause of this revival of interest is the new point of view brought forward by professor bergson in the paper which is here made accessible to the englishreading public this is the idea that we can explore the unconscious substratum of our mentality the storehouse of our memories by means of dreams for these memories are by no means inert but have as it were a life and purpose of their own and strive to rise into consciousness whenever they get a chance even into the semiconsciousness of a dream to use professor bergsons striking metaphor our memories are packed away under pressure like steam in a boiler and the dream is their escape valvethat this is more than a mere metaphor has been proved by professor freud and others of the vienna school who cure cases of hysteria by inducing the patient to give expression to the secret anxieties and emotions which unknown to him have been preying upon his mind the clue to these disturbing thoughts is generally obtained in dreams or similar states of relaxed consciousness according to the freudians a dream always means something but never what it appears to mean it is symbolic and expresses desires or fears which we refuse ordinarily to admit to consciousness either because they are painful or because they are repugnant to our moral nature a watchman is stationed at the gate of consciousness to keep them back but sometimes these unwelcome intruders slip past him in disguise,4
Satan's silence,"Cassidy McCabe is having a bad day when her cat turns up missing and her client Dana undergoes a frightening flashback in which she witnessed a Satanic ritual. Knowing Dana has a psychiatric history, Cassidy is uncertain whether to take the suddenly recovered memory as reality or delusion. But when she tells the story to her partner in crime solving, investigative reporter Zach Moran, he recognizes the place Dana describes and insists on searching for evidence. As the evil that emerged deep in the forest preserve more than 20 years ago moves into the present, Cassidy begins to fear not only for her client's life but for Zach's and her own as well.","['Fiction', 'Reporters and reporting', 'Satanism', 'Recovered memory', 'Women psychotherapists', 'Cassidy McCabe (Fictitious character)']",['Chicago (Ill.)'],,,,['OL39440A'],8,cassidy mccabe is having a bad day when her cat turns up missing and her client dana undergoes a frightening flashback in which she witnessed a satanic ritual knowing dana has a psychiatric history cassidy is uncertain whether to take the suddenly recovered memory as reality or delusion but when she tells the story to her partner in crime solving investigative reporter zach moran he recognizes the place dana describes and insists on searching for evidence as the evil that emerged deep in the forest preserve more than 20 years ago moves into the present cassidy begins to fear not only for her clients life but for zachs and her own as well,6
The Venus Throw,"In ancient Rome, Gordianus-the-Finder investigates the murder of Dio, an Egyptian envoy who came to Rome to protest the rule of the Egyptian king. For Gordianus the case is a personal matter, Dio having been his teacher of philosophy back in Alexandria.","['History', 'Gordianus the Finder (Fictitious character)', 'Fiction', 'Gordianus the finder (fictitious character), fiction', 'Italy, fiction', 'Rome, fiction', 'Fiction, historical', 'Fiction, mystery & detective, general', 'Fiction, historical, general', 'Private investigators', 'Détectives', 'Romans, nouvelles', 'Histoire', 'Fiction, mystery & detective, historical', 'Fiction, crime']",['Rome'],,"['First Triumvirate, 60-53 B.C.']",,['OL21730A'],13,in ancient rome gordianusthefinder investigates the murder of dio an egyptian envoy who came to rome to protest the rule of the egyptian king for gordianus the case is a personal matter dio having been his teacher of philosophy back in alexandria,6
Everything you need to know about dealing with losses,"Describes different kinds of losses, including the death of a loved one, the end of a love affair, and the loss of virginity, and suggests such coping mechanisms as the natural grieving process, the finding of a creative outlet, and getting help from others.","['Grief', 'Grief in adolescence', 'Juvenile literature', 'Loss (Psychology)', 'Loss (Psychology) in adolescence', 'Loss (psychology), juvenile literature', 'Grief, juvenile literature', 'Emotions']",,,,,['OL31875A'],6,describes different kinds of losses including the death of a loved one the end of a love affair and the loss of virginity and suggests such coping mechanisms as the natural grieving process the finding of a creative outlet and getting help from others,0
Calculus of several variables,"""This is a new, revised, edition of this widely known text. All of the basic topics in calculus of several variables are covered, including vectors, curves, functions of several variables, gradient, tangent plane, maxima and minima, potential functions, curve integrals, Green's theorem, multiple integrals, surface integrals, Stokes' theorem, and the inverse mapping theorem and its consequences. The presentation is self-contained, assuming only a knowledge of basic calculus in one variable. Many completely worked-out problems have been included.""--Back cover.","['Calculus', 'Functions of several real variables', 'Vectoren (wiskunde)', 'Numerieke methoden', 'Calcul', 'Potentiaal', 'Fonctions de plusieurs variables complexes', 'Fonctions de plusieurs variables réelles', 'Determinanten', 'Functies (wiskunde)', 'Differentialrechnung', 'Calcul infinitésimal', 'Green-functies', 'Fourier-reeksen', 'Variables (mathématiques)', 'Mehrere Variable', 'Integralen', 'Calculus of variations']",,,,,['OL21478A'],7,this is a new revised edition of this widely known text all of the basic topics in calculus of several variables are covered including vectors curves functions of several variables gradient tangent plane maxima and minima potential functions curve integrals greens theorem multiple integrals surface integrals stokes theorem and the inverse mapping theorem and its consequences the presentation is selfcontained assuming only a knowledge of basic calculus in one variable many completely workedout problems have been includedback cover,4
Everyday Children,"The Everyday Children celebrate such joys in life as kittens and puppies, peppermint candy, and dancing in the rain. On board pages.","['Play in fiction', 'Stories in rhyme', 'Play', 'Fiction', ""Children's fiction"", 'Play, fiction']",,,,,['OL19728A'],11,the everyday children celebrate such joys in life as kittens and puppies peppermint candy and dancing in the rain on board pages,14
